0.9793,1.7560,-0.8376,0.9407,29.91,10.03,-0.25929,0.059473262,0.32693,0.060364559,0.339240,5.963661,7.734389
0.7231,1.7550,-0.6879,0.9526,29.52,6.93,-0.08311,0.031858595,0.20419,0.031718644,0.304226,11.748771,5.161014
0.6897,1.7540,-0.4978,0.9540,30.67,5.97,0.01983,0.026859994,0.16756,0.026713629,0.299807,19.169837,5.379782
0.7110,1.7540,-0.3006,0.9530,38.78,6.89,0.06079,0.025585953,0.16001,0.025461143,0.302970,28.262283,6.823522
0.7363,1.7550,-0.1008,0.9518,50.60,7.93,0.11316,0.025556576,0.18813,0.025836418,0.306719,49.704368,9.829604
0.7663,1.7550,0.0981,0.9504,64.05,9.57,0.12432,0.025565121,0.23834,0.025950911,0.311030,74.682098,13.445772
0.8136,1.7550,0.2973,0.9480,79.12,11.68,0.08608,0.024834985,0.18564,0.025756174,0.318270,67.547951,13.362146
0.9038,1.7550,0.4978,0.9437,98.11,14.44,0.17049,0.024105501,0.27891,0.024979231,0.330803,133.283658,22.154440
1.0130,1.7540,0.6976,0.9384,126.98,17.44,0.22094,0.023016892,0.30809,0.02383017,0.345551,194.403227,29.344894
1.1870,1.7510,0.8934,0.9502,171.57,23.00,0.27526,0.024273133,0.34504,0.02465516,0.311641,341.498298,49.584475




