1.6-1.7,89.60,13.42
1.7-1.8,185.65,23.57
1.8-1.9,165.07,22.42
1.9-2.0,150.39,17.2
2.0-2.1,140.29,16.49
2.1-2.2,140.29,16.49
2.2-2.4,119.88,17.90
2.4-2.6,108.75,13.26 





